index,network,title,imdb,engagement,date_aired,format,monster_gender,motive,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
127,ABC,The Creepy Case of Old Iron Face,7.7,80.0,1978-10-21,TV Series,Male,Smuggling,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
130,ABC,"Jeepers, It's the Jaguaro!",7.2,91.0,1978-10-28,TV Series,Male,Natural Resource,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
133,ABC,Make a Beeline Away from that Feline,8.0,88.0,1978-11-04,TV Series,Male,Theft,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
134,ABC,The Creepy Creature of Vulture's Claw,7.5,80.0,1978-11-11,TV Series,Male,Natural Resource,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
135,ABC,The Diabolical Disc Demon,7.5,84.0,1978-11-18,TV Series,Male,Smuggling,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
136,ABC,Scooby's Chinese Fortune Kooky Caper,7.5,85.0,1978-11-25,TV Series,Male,Theft,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
137,ABC,A Menace in Venice,7.5,92.0,1978-12-02,TV Series,Male,Treasure,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
138,ABC,Don't Go Near the Fortress of Fear,7.2,83.0,1978-12-09,TV Series,Male,Treasure,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
139,ABC,The Warlock of Wimbledon,6.8,84.0,1978-12-16,TV Series,Male,Competition,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
140,ABC,The Beast is Awake in Bottomless Lake,7.1,84.0,1978-12-23,TV Series,Male,Smuggling,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
141,ABC,The Scarab Lives!,7.6,67.0,1979-09-22,TV Series,Male,Competition,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
142,ABC,The Night Ghoul of Wonderworld,7.6,59.0,1979-09-29,TV Series,Male,Theft,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
143,ABC,Strange Encounters of a Scooby Kind,7.6,54.0,1979-10-06,TV Series,Male,Smuggling,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
144,ABC,The Neon Phantom of the Roller Disco!,7.4,55.0,1979-10-13,TV Series,Male,Competition,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
145,ABC,"Shiver and Shake, That Demon's a Snake",7.5,51.0,1979-10-20,TV Series,Male,Smuggling,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
146,ABC,The Scary Sky Skeleton,7.4,51.0,1979-10-27,TV Series,Male,Natural Resource,Frank Welker,Heather North,Pat Stevens,Casey Kasem,Don Messick
