Sno,index,network,title,imdb,engagement,format,monster_gender,motive
180,277,ABC,Ghost of the Ancient Astronauts,6.9,36.0,TV Series,Male,Treasure
181,278,ABC,The Night of Living Toys,7.2,23.0,TV Series (segmented),Male,Treasure
182,279,ABC,South Pole Vault,7.2,23.0,TV Series (segmented),Male,Competition
183,280,ABC,A Halloween Hassle at Dracula's Castle,8.0,47.0,TV Series,Male,Theft
184,281,ABC,A Night Louse at the White House,7.5,26.0,TV Series,Male,Theft
185,282,ABC,Showboat Scooby,7.3,27.0,TV Series (segmented),Male,Treasure
186,284,ABC,Sherlock Doo,7.6,27.0,TV Series,Male,Theft
187,285,ABC,A Scarey Duel with a Cartoon Ghoul,7.0,24.0,TV Series (segmented),Male,Theft
188,286,ABC,E*I*E*I*O,7.0,24.0,TV Series (segmented),Male,Competition
189,287,ABC,The Nutcracker Scoob,7.9,60.0,TV Series,Male,Treasure
190,289,ABC,Scoobra Kadoobra,7.6,91.0,TV Series,Male,Conquer
191,291,ABC,Reflections in the Ghoulish Eye,7.2,79.0,TV Series,Male,Conquer
192,293,ABC,Ship of Ghouls,7.5,74.0,TV Series,Male,Conquer
193,295,ABC,When You Witch Upon a Star,7.1,78.0,TV Series,Female,Conquer
194,296,ABC,It's a Wonderful Scoob,7.4,77.0,TV Series,Male,Conquer
195,297,ABC,Scooby in Kwacky Land,7.7,76.0,TV Series,Male,Conquer
196,298,ABC,Coast-to-Ghost,7.4,71.0,TV Series,Male,Conquer
197,299,ABC,The Ghouliest Show on Earth,7.4,77.0,TV Series,Male,Conquer
198,300,ABC,Horror-Scope Scoob,7.4,77.0,TV Series,Male,Conquer
199,301,Syndication,Scooby-Doo Meets the Boo Brothers,7.1,3727.0,Movie,Male,Treasure
200,302,ABC,A Bicycle Built for Boo,7.3,68.0,TV Series,Male,Counterfeit
201,303,ABC,The Sludge Monster from the Earth's Core,7.5,58.0,TV Series,Male,Theft
202,304,ABC,The Schnoock Who Took My Comic Book,8.0,55.0,TV Series,Male,Theft
203,305,ABC,Wanted Cheddar Alive,7.5,61.0,TV Series,Male,Competition
204,306,ABC,For Letter or Worse,7.4,44.0,TV Series,Male,Competition
205,307,ABC,The Babysitter from Beyond,7.6,50.0,TV Series,Male,Theft
206,309,ABC,Snow Place Like Home,7.8,44.0,TV Series,Male,Natural Resource
207,310,ABC,"Now Museum, Now You Don't",7.7,47.0,TV Series,Male,Theft
208,311,ABC,Scooby Dude,7.0,47.0,TV Series,Male,Smuggling
209,312,ABC,Ghost Who's Coming to Dinner,7.5,53.0,TV Series,Male,Competition
210,314,ABC,The Story Stick,6.9,46.0,TV Series,Male,Competition
211,315,ABC,Robopup,7.2,44.0,TV Series,Male,Theft
212,316,ABC,Lights...Camera...Monster,7.5,45.0,TV Series,Male,Theft
213,317,ABC,Curse of the Collar,7.7,43.0,TV Series,Male,Theft
214,318,ABC,The Return of Commander Cool,7.7,43.0,TV Series,Male,Theft
215,319,ABC,The Spirit of Rock'n Roll,7.8,43.0,TV Series,Male,Theft
216,320,ABC,Chickenstein Lives,7.5,38.0,TV Series,Male,Smuggling
217,321,ABC,Night of the Living Burger,7.6,42.0,TV Series,Male,Competition
218,322,ABC,The Computer Walks Among Us,7.7,40.0,TV Series,Male,Competition
219,324,ABC,"Terror, Thy Name is Zombo",7.8,38.0,TV Series,Male,Competition
220,325,ABC,Night of the Boogey Biker,7.1,37.0,TV Series (segmented),Male,Assistance
221,326,ABC,Dawn of the Spooky Shuttle Scare,7.1,37.0,TV Series (segmented),Male,Competition
222,327,ABC,Horror of the Haunted Hairpiece,6.9,35.0,TV Series,Male,Competition
223,328,ABC,Wrestle Maniacs,7.2,38.0,TV Series,Male,Competition
224,329,ABC,The Were-Doo of Doo Manor,7.2,40.0,TV Series,Male,Treasure
225,331,ABC,The Ghost of Mrs. Shusham,6.6,37.0,TV Series (segmented),Female,Theft
226,333,ABC,Mayhem of the Moving Mollusk,7.2,32.0,TV Series,Male,Competition
227,335,Cartoon Network,Bravo Dooby-Doo,8.4,148.0,Crossover,Male,Trespassing
228,338,Cartoon Network,The Scooby-Doo Project,7.4,390.0,TV Series,Male,Entertainment
229,339,Warner Home Video,Scooby-Doo and the Alien Invaders,6.9,5625.0,Movie,Male,Natural Resource
230,340,Warner Home Video,Scooby-Doo and the Cyber Chase,7.0,6632.0,Movie,Male,Competition
231,341,Cartoon Network,Night of the Living Doo,7.2,256.0,TV Series,Male,Competition
232,343,Adult Swim,Shaggy Busted,8.1,133.0,Crossover,Male,Competition
233,344,The WB,There's No Creature Like Snow Creature,7.5,176.0,TV Series,Male,Competition
234,345,The WB,3-D Struction,7.4,150.0,TV Series,Male,Natural Resource
235,346,The WB,Space Ape and the Cape,7.6,151.0,TV Series,Male,Competition
236,347,The WB,Big Scare in the Big Easy,7.7,142.0,TV Series,Male,Competition
237,348,The WB,"It's Mean, It's Green, It's the Mystery Machine",7.6,144.0,TV Series,Female,Competition
238,349,The WB,Riva Ras Regas,7.5,125.0,TV Series,Male,Competition
239,350,The WB,Roller Ghoster Ride,7.7,133.0,TV Series,Male,Competition
240,351,The WB,"Safari, So Goodie!",7.1,130.0,TV Series,Male,Smuggling
241,352,The WB,She Sees Sea Monsters by the Sea Shore,7.1,122.0,TV Series,Female,Preservation
242,353,The WB,A Scooby-Doo! Christmas,7.5,137.0,TV Series,Male,Treasure
243,355,The WB,Lights! Camera! Mayhem!,7.5,115.0,TV Series,Male,Competition
244,356,The WB,Pompii and Circumstance,7.1,110.0,TV Series,Male,Competition
245,357,Warner Home Video,Scooby-Doo! and the Legend of the Vampire,6.6,4180.0,Movie,Male,Competition
246,358,The WB,The Unnatural,7.3,110.0,TV Series,Male,Competition
247,359,The WB,Big Appetite in Little Tokyo,7.2,112.0,TV Series,Male,Competition
248,361,The WB,The Fast and the Wormious,7.4,104.0,TV Series,Male,Competition
249,362,Warner Home Video,Scooby-Doo! and the Monster of Mexico,6.5,3462.0,Movie,Male,Competition
250,364,The WB,The Vampire Strikes Back,7.4,105.0,TV Series,Male,Competition
251,365,The WB,A Scooby-Doo Halloween,7.6,129.0,TV Series,Male,Competition
252,366,The WB,Homeward Hound,7.2,97.0,TV Series,Male,Competition
253,367,The WB,The San Franpsycho,7.3,103.0,TV Series,Male,Competition
254,368,The WB,Simple Plan and the Invisible Madman,7.5,113.0,TV Series,Male,Competition
255,369,The WB,Recipe for Disaster,7.5,109.0,TV Series,Male,Competition
256,370,The WB,Large Dragon at Large,7.5,94.0,TV Series,Male,Treasure
257,371,The WB,Uncle Scooby and Antarctica,7.4,99.0,TV Series,Male,Preservation
258,372,The WB,"New Mexico, Old Monster",7.2,96.0,TV Series,Male,Preservation
259,373,Warner Bros. Picture,Scooby-Doo 2: Monsters Unleashed,5.1,50847.0,Movie (Theatrical),Male,Competition
260,374,The WB,It's All Greek to Scooby,7.4,91.0,TV Series,Male,Treasure
261,375,Warner Home Video,Scooby-Doo! and the Loch Ness Monster,6.7,4108.0,Movie,Female,Competition
262,376,The WB,Fright House of a Lighthouse,8.0,128.0,TV Series,Male,Competition
263,377,The WB,"Go West, Young Scoob",7.2,102.0,TV Series,Male,Competition
264,378,Warner Home Video,"Aloha, Scooby-Doo!",6.4,3696.0,Movie,Male,Competition
265,380,The WB,Wrestle Maniacs,7.4,90.0,TV Series,Male,Competition
266,381,The WB,Ready to Scare,7.5,89.0,TV Series,Male,Competition
267,382,The WB,Farmed & Dangerous,7.3,101.0,TV Series,Male,Competition
268,383,The WB,Diamonds Are a Ghoul's Best Friend,7.0,96.0,TV Series,Male,Theft
269,384,The WB,A Terrifying Round with a Menacing Metallic Clown,7.6,105.0,TV Series,Male,Competition
270,385,The WB,Camp Comeoniwannascareya,7.5,100.0,TV Series,Male,Preservation
271,386,The WB,Block-Long Hong Kong Terror,7.4,88.0,TV Series,Male,Competition
272,387,The WB,"Gentlemen, Start Your Monsters!",7.3,87.0,TV Series,Male,Competition
273,388,The WB,Gold Paw,7.4,84.0,TV Series,Male,Competition
274,389,The WB,Reef Grief!,7.5,92.0,TV Series,Male,Competition
275,391,Cartoon Network,E-Scream,7.4,91.0,TV Series,Male,Simulation
276,393,The CW,Shags to Riches,6.1,29.0,TV Series,Male,Theft
277,395,The CW,High Society Scooby,6.0,22.0,TV Series,Male,Conquer
278,396,The CW,Party Arty,5.9,19.0,TV Series,Male,Abduction
279,397,The CW,Smart House,5.9,17.0,TV Series,Male,Conquer
280,398,The CW,Lightning Strikes Twice,5.5,17.0,TV Series,Male,Conquer
281,399,The CW,Don't Feed the Animals,5.8,18.0,TV Series,Male,Treasure
282,400,The CW,Mysterty of the Missing Mystery Solvers,6.9,17.0,TV Series,Male,Abduction
283,401,The CW,Chefs of Steel,5.1,16.0,TV Series,Male,Competition
284,402,The CW,Almost Ghosts,6.1,20.0,TV Series,Male,Theft
285,403,The CW,Pole to Pole,6.1,14.0,TV Series,Male,Conquer
286,404,The CW,Big Trouble,5.9,17.0,TV Series,Male,Conquer
287,406,Cartoon Network,"Chill Out, Scooby-Doo!",6.7,2511.0,Movie,Male,Competition
288,407,The CW,Shaggy and Scooby World,5.3,15.0,TV Series,Male,Conquer
289,408,The CW,Almost Purr-fect,5.2,16.0,TV Series,Male,Theft
290,409,The CW,Inside Job,5.9,18.0,TV Series,Male,Conquer
291,410,The CW,Zoinksman,5.5,14.0,TV Series,Male,Conquer
292,411,The CW,The Many Faces of Evil,5.4,13.0,TV Series,Male,Conquer
293,412,The CW,Crusin' for a Brusin',5.6,11.0,TV Series,Male,Conquer
294,413,The CW,There's a Doctor in the House,5.5,11.0,TV Series,Male,Conquer
295,414,The CW,Super Scary Movie Night,5.4,11.0,TV Series,Male,Conquer
296,415,The CW,Runaway Robi,4.8,9.0,TV Series,Male,Conquer
297,416,The CW,Don't Get a Big Head,4.6,9.0,TV Series,Male,Conquer
298,417,The CW,Scooby Dudes,6.2,13.0,TV Series,Male,Conquer
299,418,The CW,Zoinks the Wonder Dog,5.1,9.0,TV Series,Male,Conquer
300,419,The CW,Uncle Albert Alert,5.8,9.0,TV Series,Male,Conquer
301,420,Warner Home Video,Scooby-Doo! and the Goblin King,6.4,2285.0,Movie,Male,Conquer
302,421,Warner Home Video,Scooby-Doo! and the Samurai Sword,6.5,2182.0,Movie,Male,Conquer
303,424,Cartoon Network,Beware the Beast From Below,7.9,337.0,TV Series,Male,Theft
304,426,Cartoon Network,The Secret of the Ghost Rig,7.7,267.0,TV Series,Male,Theft
305,427,Cartoon Network,Revenge of the Man Crab,7.7,255.0,TV Series,Male,Competition
306,428,Cartoon Network,The Song of Mystery,8.0,254.0,TV Series,Male,Competition
307,429,Cartoon Network,The Legend of Alice May,8.5,263.0,TV Series,Female,Competition
308,430,Cartoon Network,In Fear of the Phantom,8.2,256.0,TV Series,Male,Competition
309,431,Cartoon Network,The Grasp of the Gnome,7.8,229.0,TV Series,Male,Competition
310,432,Cartoon Network,Battle of the Humungonauts,7.6,221.0,TV Series,Male,Competition
311,434,Cartoon Network,Howl of the Fright Hound,8.2,235.0,TV Series,Male,Competition
312,435,Cartoon Network,The Secret Serum,8.1,225.0,TV Series,Female,Theft
313,436,Cartoon Network,The Shrieking Madness,8.4,246.0,TV Series,Male,Competition
314,437,Cartoon Network,When the Cicada Calls,8.0,224.0,TV Series,Male,Preservation
315,439,Cartoon Network,Mystery Solvers Club State Finals,8.2,254.0,TV Series,Male,Imagination
316,440,Cartoon Network,The Wild Brood,7.7,221.0,TV Series,Male,Competition
317,441,Cartoon Network,Where Walks Aphrodite,8.2,228.0,TV Series,Female,Competition
318,442,Cartoon Network,Escape from Mystery Manor,8.8,250.0,TV Series,Male,Preservation
319,443,Cartoon Network,The Dragon's Secret,8.2,211.0,TV Series,Male,Theft
320,444,Cartoon Network,Nightfright,8.5,227.0,TV Series,Male,Competition
321,445,Cartoon Network,The Siren's Song,8.1,203.0,TV Series,Male,Natural Resource
