,imdb,engagement,monster_gender,motive,zoinks,jinkies,monster_name,culprit_gender
212,8.1,203.0,"Male,Male,Male,Male",Natural Resource,2.0,1.0,"Fish Freaks,Fish Freaks,Fish Freaks,Fish Freaks",Male
213,8.2,212.0,Male,Competition,0.0,0.0,Manticore,Female
214,8.1,196.0,Male,Competition,1.0,1.0,Headless Horror,Female
215,8.6,211.0,Male,Theft,2.0,0.0,Shadowy Figure,Male
216,8.2,194.0,Male,Competition,2.0,0.0,Ghost of Dead Justice,Male
217,8.8,212.0,Female,Theft,2.0,2.0,Obliteratrix,Female
221,6.9,195.0,Male,Competition,0.0,0.0,Fortius,Male
222,7.9,187.0,"Male,Female",Smuggling,0.0,2.0,"Baba Yaga House,Baba Yaga",Male
223,8.4,197.0,Male,Abduction,2.0,1.0,Crybaby Clown,Male
224,8.2,192.0,Male,Competition,0.0,0.0,Dreamweaver,Male
225,8.4,188.0,Male,Theft,0.0,0.0,Hodag of Horror,Male
226,7.7,177.0,Male,Competition,0.0,2.0,Junk,Male
227,8.2,172.0,Male,Natural Resource,1.0,3.0,Graveyard Ghoul,Male
228,8.3,183.0,Female,Treasure,2.0,0.0,Dark Lilith,Female
229,8.3,176.0,Male,Competition,0.0,0.0,Hebediah Grim,"Male,Male"
231,8.7,187.0,"Male,Female",Theft,0.0,0.0,"Kriegstaffebot,Ghost of Abigail Gluck",Male
232,8.2,169.0,Male,Preservation,0.0,2.0,Scarebear,Male
233,8.9,207.0,Male,Theft,0.0,0.0,Krampus,"Male,Female,Female,Male,Male,Male,Female,Female,Male,Male,Female"
234,7.6,174.0,Male,Theft,0.0,1.0,Dragon,"Male,Female"
235,8.6,180.0,Male,Theft,0.0,0.0,Mummy of Friar Serra,Male
237,7.0,392.0,Male,Competition,1.0,1.0,Sinister Snowman,Male
239,8.0,172.0,"Male,Male,Female",Theft,1.0,3.0,"Grey Alien,Reptiod,Nordic Alien","Male,Male,Female"
240,8.3,167.0,"Male,Female",Theft,0.0,0.0,"Skull Cattles,Skull Cattle Queen",Male
241,8.0,180.0,"Male,Male,Male,Male",Competition,2.0,1.0,"Rude Boy and the Ska-Tastics,Rude Boy and the Ska-Tastics,Rude Boy and the Ska-Tastics,Rude Boy and the Ska-Tastics","Male,Male,Male,Male"
242,7.8,166.0,Male,Competition,1.0,2.0,Gluton Demon,Female
243,8.3,171.0,Male,Competition,0.0,2.0,Dandy Highwayman,Male
244,8.9,176.0,"Male,Female",Theft,1.0,0.0,"Evil Fred,Evil Daphnie","Male,Female"
245,8.9,187.0,Male,Preservation,0.0,3.0,Monstrous Freak,Male
246,8.4,165.0,Female,Competition,1.0,1.0,Priestess,Male
247,8.7,169.0,Male,Treasure,1.0,1.0,Kriegstaffebot,Male
250,7.3,403.0,Male,Theft,0.0,0.0,Cornfield Clem,Male
251,6.5,242.0,Male,Competition,1.0,0.0,Mecha Mutt,Female
253,6.6,216.0,Male,Theft,1.0,1.0,Eshu,Male
256,7.1,188.0,Male,Theft,0.0,0.0,Sea Monster,Male
258,7.9,122.0,Male,Competition,0.0,0.0,Ghost of Elias Kingston,"Male,Male"
259,7.2,102.0,Male,Treasure,1.0,0.0,Spirit of the Zatari Warrior,Male
260,7.4,101.0,"Male,Male",Treasure,1.0,0.0,"Sea Creature,Sea Creature","Male,Female"
261,7.3,85.0,Male,Competition,0.0,1.0,Gargoyle,Female
262,7.3,78.0,Male,Competition,0.0,0.0,Ghost of Chip Braverton,Male
263,7.6,80.0,Male,Theft,0.0,0.0,Sobek,Female
264,7.5,84.0,Male,Competition,0.0,1.0,Crystal Crawler,Male
265,8.2,88.0,Male,Theft,0.0,0.0,Headless Count,Male
266,7.4,72.0,Female,Competition,2.0,0.0,Ghost of the Prima Donna,Male
267,7.5,75.0,Male,Competition,0.0,2.0,Yeti,Male
268,7.5,72.0,Male,Competition,1.0,0.0,Butler 3000,Female
269,7.4,71.0,Male,Competition,2.0,0.0,Alien,Male
270,7.5,81.0,Male,Inheritance,0.0,0.0,Phantom,"Female,Female"
271,6.6,288.0,Male,Treasure,0.0,2.0,Black Knight,Male
272,7.4,75.0,Male,Theft,0.0,0.0,Pterodactyl,"Male,Male"
273,7.7,72.0,Male,Theft,1.0,0.0,Ghost of Stealin' Stan,Male
274,7.8,66.0,Male,Competition,1.0,0.0,Gremlin,Male
275,7.9,67.0,Male,Competition,2.0,0.0,Sorcerer,Male
276,8.2,67.0,Male,Theft,1.0,0.0,Swamp Monster,Male
277,7.5,63.0,Male,Preservation,1.0,0.0,Snow Monster,Female
279,7.4,58.0,Male,Competition,0.0,0.0,Giant,Male
280,7.4,54.0,"Male,Male",Natural Resource,1.0,0.0,"Scarecrow,Scarecrow","Male,Male"
283,7.2,58.0,Female,Competition,0.0,0.0,Ghost of the Cliff Bride,"Female,Female"
284,7.6,52.0,Male,Treasure,0.0,0.0,Spirit of El Bandito,Male
285,7.2,50.0,Male,Competition,2.0,0.0,Madcap the Killer Clown,Male
286,7.3,48.0,"Male,Male,Male",Natural Resource,0.0,0.0,"Viking Ghosts,Viking Ghosts,Viking Ghosts","Male,Female,Male"
287,7.7,50.0,Male,Theft,1.0,0.0,Toxic Mutant,Male
289,8.2,53.0,Male,Competition,1.0,0.0,Dorsal Foot,Male
290,7.5,40.0,Male,Theft,1.0,1.0,Werewolf,Male
291,7.4,40.0,Male,Competition,0.0,0.0,Jester Monster,Male
292,7.6,42.0,Male,Theft,1.0,1.0,Vampire,"Male,Male"
293,7.1,38.0,Male,Competition,0.0,0.0,Houndbeast,Female
294,7.5,42.0,"Male,Male,Male,Male,Female,Male,Male,Male",Theft,0.0,0.0,"Grim Reaper,Mummy,Tengu,Tarasque,Tzitzimitl,Manticore,Haniver,Hemogoblin","Male,Female,Male"
295,7.4,43.0,"Female,Male",Competition,1.0,0.0,"Baba Yaga,Baba Yaga House","Female,Male"
296,7.5,39.0,Male,Competition,0.0,0.0,Kaniaku,Male
297,6.6,40.0,Male,Competition,0.0,0.0,Ghost of Amos Littlefield,Female
298,7.7,47.0,"Male,Female,Male,Male",Theft,0.0,0.0,"Ghost of Jacob Marley,Ghost of Christmas Past,Ghost of Christmas Present,Ghost of Christmas Future",Male
299,8.0,44.0,Male,Natural Resource,0.0,0.0,Space Kook,Male
300,7.9,50.0,Female,Competition,0.0,0.0,Ghost of Mother,Male
301,7.4,38.0,Male,Competition,0.0,0.0,Ghost of Archie Barnes,Female
302,7.2,35.0,Male,Competition,0.0,0.0,Mutant Rabbit,"Male,Male"
303,6.7,35.0,Female,Competition,0.0,0.0,Arachne,"Male,Male"
305,7.1,41.0,Male,Competition,1.0,0.0,Plant Monster,Male
306,7.2,31.0,Male,Competition,0.0,0.0,Minus,"Female,Male"
307,7.4,36.0,Female,Competition,0.0,0.0,The Mystery Machine,"Male,Female"
308,7.4,38.0,Male,Theft,1.0,0.0,Ice Man,Female
309,7.3,39.0,Male,Competition,0.0,0.0,Ape Man,Female
310,6.9,37.0,Male,Theft,0.0,1.0,Trash Monster,Male
311,6.7,33.0,Male,Competition,1.0,1.0,Ghost Chef,"Female,Female"
312,6.9,33.0,Male,Theft,0.0,0.0,Demon of Salem,"Male,Female"
313,7.9,36.0,Male,Competition,1.0,0.0,Professor Huh?,"Female,Male, Male"
314,6.8,31.0,Male,Competition,0.0,0.0,Pizza O'Possum,Female
315,6.8,31.0,Male,Treasure,1.0,0.0,Half-Beard's Ghost,"Male,Male,Female"
319,7.0,126.0,Male,Competition,0.0,0.0,Swamp Monster,Male
320,7.9,93.0,Male,Treasure,1.0,1.0,Civil War Zombie Ghosts,Male
321,7.9,79.0,Male,Competition,2.0,0.0,Fish Monster,Male
322,8.1,78.0,Male,Theft,1.0,0.0,Screaming Skulls of London,"Male,Male"
324,7.3,84.0,Male,Theft,1.0,0.0,Cat Mummy,Male
325,8.1,74.0,Male,Treasure,2.0,0.0,Minotaur,Male
326,8.3,70.0,"Male,Male",Entertainment,0.0,1.0,"Ghost of Madds Markson,Madds Markson Monster",Male
327,6.5,74.0,Male,Natural Resource,2.0,0.0,Technomancer,Female
328,7.5,52.0,Male,Competition,2.0,1.0,Spectral Speedster,Male
329,7.5,61.0,"Male,Male",Natural Resource,3.0,1.0,"Dinosaur,Dinosaur","Male,Male"
330,7.4,59.0,Female,Theft,2.0,2.0,Sia Doppelganger,Female
331,7.4,47.0,Male,Competition,2.0,2.0,Pazzo the Ghost Clown,Male
332,8.7,84.0,Male,Theft,4.0,0.0,Man-Bat,Male
333,8.1,38.0,Male,Inheritance,3.0,1.0,Nightmare Ghost,Female
334,8.8,35.0,Male,Theft,0.0,0.0,Fox Monster,Male
335,7.9,36.0,"Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male",Competition,1.0,1.0,"Miner Forty-Niner,Ghost of Captain Cutler,Spooky Space Kook,Snow Ghost,Clown,Ghost of Redbeard,Back Knight,Witch,Witch Doctor,Phantom,Creeper,Giant Teddy Bear","Male,Male,Male,Male,Male,Male,Female,Male,Male,Male,Male"
336,8.1,25.0,Male,Inheritance,4.0,6.0,Ghost of the Doom Bringer,Male
337,7.8,27.0,Male,Treasure,2.0,2.0,Gator Man Monster,Male
338,7.7,23.0,Male,Competition,1.0,1.0,Fire Monster of Mount Etna,Female
339,8.2,28.0,Male,Competition,1.0,0.0,Crazy Carl,Male
340,7.6,22.0,Female,Competition,0.0,2.0,Ghost of Madame Zobrinsky,Female
341,8.6,19.0,Female,Theft,1.0,1.0,Wedding Witch of Wainsly Hall,Female
342,7.9,21.0,"Male,Male",Simulation,3.0,2.0,"Chronobeast,Robo Dooby Doo",Male
343,8.4,25.0,Female,Competition,0.0,0.0,Ghost of Ester Moonkiller,Female
344,7.6,27.0,Male,Competition,0.0,1.0,Werewolf,Male
345,8.2,24.0,Male,Theft,3.0,0.0,Tardigrade Monster,"Male,Male"
