index,series_name,network,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_species,monster_real,monster_amount,suspects_amount,arrested,culprit_gender,culprit_amount,motive,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo
44,The New Scooby-Doo Movies,CBS,7.5,82.0,1973-09-22,43,TV Series,Jadal,Male,Mythical,Genie,True,1,3,True,Male,1,Competition,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
45,The New Scooby-Doo Movies,CBS,7.4,73.0,1973-09-29,43,TV Series,Spirit of Fireball McPhan,Male,Ghost,Human,False,1,3,True,"Male,Male",2,Competition,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,The New Scooby-Doo Movies,CBS,7.6,85.0,1973-10-06,44,TV Series,"Cat Creature,Frankenstein,Creepy Man,Ghost Bird,Unknown Exterminator,Ghostly Man,Invisible Couple,Sea Monster","Male,Male,Male,Male,Male,Male,Male,Male","Animal,Undead,Disguised,Animal,Disguise,Ghost,Ghost,Animal","Human,Human,Human,Bird,Human,Human,Human,Fish",False,8,1,False,"Male,Male",2,Competition,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
47,The New Scooby-Doo Movies,CBS,7.3,91.0,1973-10-13,44,TV Series,"Windmakers,Windmakers,Windmakers,Windmakers","Male,Male,Male,Male","Disguised,Disguised,Disguised,Disguised","Human,Human,Human,Human",False,4,2,True,Male,1,Competition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,The New Scooby-Doo Movies,CBS,7.8,104.0,1973-10-20,43,TV Series,"Green Globs,Green Globs","Male,Male","Possessed Object,Possessed Object","Human,Human",False,2,2,True,"Male,Male",2,Smuggling,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
49,The New Scooby-Doo Movies,CBS,7.6,92.0,1973-10-27,43,TV Series,Ghostly Strongman,Male,Ghost,Human,False,1,0,True,Male,1,Competition,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,The Scooby-Doo Show,ABC,7.6,112.0,1976-09-11,24,TV Series,"Specter of Ebenezer Crabbe,Ghost of Netty Crabbe","Male,Female","Ghost,Ghost","Human,Human",False,2,4,True,"Male,Male",2,Theft,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0
51,"Dynomutt, Dogwonder",ABC,7.2,12.0,1976-09-11,22,Crossover,"Mr. Hyde,Snitch","Male,Male","Disguised,Animal","Human,Hound",True,1,2,True,Male,1,Theft,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
52,The Scooby-Doo Show,ABC,7.4,97.0,1976-09-18,24,TV Series,"Ghost of King Katazuma,Aztec Statue Monster","Male,Male","Ghost,Possessed Object","Human,Human",False,2,4,True,"Male,Female",2,Treasure,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0
54,The Scooby-Doo Show,ABC,7.5,95.0,1976-09-25,24,TV Series,Ghost of Gator Ghoul,Male,Ghost,Alligator,False,1,4,True,Female,1,Competition,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
