imdb,date_aired,format,engagement
5.6,2007-11-10,TV Series,11.0
5.5,2007-12-01,TV Series,11.0
5.4,2008-01-26,TV Series,11.0
4.8,2008-02-02,TV Series,9.0
4.6,2008-02-16,TV Series,9.0
6.2,2008-02-23,TV Series,13.0
5.1,2008-03-08,TV Series,9.0
5.8,2008-03-15,TV Series,9.0
6.4,2008-10-08,Movie,2285.0
6.5,2009-04-07,Movie,2182.0
5.3,2009-09-13,Movie,5805.0
7.1,2010-02-16,Movie,2009.0
7.9,2010-04-05,TV Series,337.0
7.8,2010-07-19,TV Series,304.0
7.7,2010-07-26,TV Series,267.0
7.7,2010-08-02,TV Series,255.0
8.0,2010-08-09,TV Series,254.0
8.5,2010-08-16,TV Series,263.0
8.2,2010-08-23,TV Series,256.0
7.8,2010-08-30,TV Series,229.0
7.6,2010-09-07,TV Series,221.0
7.3,2010-09-14,Movie,2566.0
8.2,2010-10-04,TV Series,235.0
8.1,2010-10-11,TV Series,225.0
8.4,2010-10-18,TV Series,246.0
8.0,2010-10-25,TV Series,224.0
4.9,2011-03-01,Movie,4081.0
8.2,2011-05-03,TV Series,254.0
7.7,2011-05-10,TV Series,221.0
8.2,2011-05-17,TV Series,228.0
8.8,2011-05-24,TV Series,250.0
8.2,2011-05-31,TV Series,211.0
8.5,2011-06-07,TV Series,227.0
8.1,2011-06-14,TV Series,203.0
8.2,2011-06-21,TV Series,212.0
8.1,2011-06-28,TV Series,196.0
8.6,2011-07-05,TV Series,211.0
8.2,2011-07-12,TV Series,194.0
8.8,2011-07-19,TV Series,212.0
9.2,2011-07-26,TV Series,272.0
6.8,2011-09-06,Movie,1899.0
6.5,2012-03-13,Movie,1573.0
6.9,2012-07-17,TV Series,195.0
8.5,2012-07-30,TV Series,226.0
7.9,2012-07-31,TV Series,187.0
8.4,2012-08-01,TV Series,197.0
8.2,2012-08-02,TV Series,192.0
8.4,2012-08-03,TV Series,188.0
7.7,2012-08-06,TV Series,177.0
8.2,2012-08-07,TV Series,172.0
8.3,2012-08-08,TV Series,183.0
8.3,2012-08-09,TV Series,176.0
9.1,2012-08-10,TV Series,202.0
8.7,2012-08-13,TV Series,187.0
8.2,2012-08-14,TV Series,169.0
8.9,2012-08-15,TV Series,207.0
7.6,2012-08-16,TV Series,174.0
8.6,2012-08-17,TV Series,180.0
6.9,2012-10-09,Movie,1442.0
7.0,2012-10-16,TV Series,392.0
6.8,2013-02-26,Movie,1485.0
8.0,2013-03-25,TV Series,172.0
8.3,2013-03-25,TV Series,167.0
8.0,2013-03-26,TV Series,180.0
7.8,2013-03-27,TV Series,166.0
8.3,2013-03-28,TV Series,171.0
8.9,2013-03-29,TV Series,176.0
8.9,2013-04-02,TV Series,187.0
8.4,2013-04-03,TV Series,165.0
8.7,2013-04-04,TV Series,169.0
9.0,2013-04-05,TV Series,184.0
9.3,2013-04-05,TV Series,260.0
5.1,2013-07-23,Movie,294.0
7.1,2013-08-20,Movie,1380.0
7.3,2013-09-10,TV Series,403.0
6.5,2013-09-24,TV Series,242.0
6.3,2014-03-25,Movie,2825.0
6.6,2014-05-13,TV Series,216.0
6.7,2014-08-19,Movie,1541.0
6.5,2015-02-17,Movie,1269.0
7.1,2015-05-05,TV Series,188.0
6.5,2015-07-21,Movie,1891.0
7.9,2015-10-05,TV Series,122.0
7.2,2015-10-06,TV Series,102.0
7.4,2015-10-07,TV Series,101.0
7.3,2015-10-08,TV Series,85.0
7.3,2015-10-09,TV Series,78.0
7.6,2015-10-12,TV Series,80.0
7.5,2015-10-15,TV Series,84.0
8.2,2015-10-19,TV Series,88.0
7.4,2015-10-20,TV Series,72.0
7.5,2015-10-21,TV Series,75.0
7.5,2015-10-22,TV Series,72.0
7.4,2015-10-23,TV Series,71.0
7.5,2015-10-28,TV Series,81.0
6.6,2015-11-25,TV Series,288.0
7.4,2015-12-05,TV Series,75.0
7.7,2015-12-10,TV Series,72.0
7.8,2016-02-13,TV Series,66.0
7.9,2016-02-20,TV Series,67.0
8.2,2016-02-27,TV Series,67.0
7.5,2016-03-05,TV Series,63.0
5.9,2016-03-10,Movie,1144.0
7.4,2016-03-12,TV Series,58.0
7.4,2016-03-23,TV Series,54.0
6.2,2016-08-09,Movie,1179.0
6.8,2017-02-14,Movie,1120.0
7.2,2017-06-20,TV Series,58.0
7.6,2017-06-20,TV Series,52.0
7.2,2017-06-20,TV Series,50.0
7.3,2017-06-20,TV Series,48.0
7.7,2017-06-20,TV Series,50.0
5.6,2017-07-25,Movie,565.0
8.2,2017-11-14,TV Series,53.0
7.5,2017-11-15,TV Series,40.0
7.4,2017-11-15,TV Series,40.0
7.6,2017-12-21,TV Series,42.0
7.1,2017-11-17,TV Series,38.0
7.5,2017-11-18,TV Series,42.0
7.4,2017-09-28,TV Series,43.0
7.5,2017-11-19,TV Series,39.0
6.6,2017-11-19,TV Series,40.0
7.7,2017-11-30,TV Series,47.0
8.0,2017-11-20,TV Series,44.0
7.9,2017-11-21,TV Series,50.0
7.4,2017-11-22,TV Series,38.0
7.2,2017-11-22,TV Series,35.0
6.7,2017-11-23,TV Series,35.0
6.6,2018-01-09,Movie,1698.0
7.1,2018-03-08,TV Series,41.0
7.2,2018-03-09,TV Series,31.0
7.4,2018-03-10,TV Series,36.0
7.4,2018-03-11,TV Series,38.0
7.3,2018-03-12,TV Series,39.0
6.9,2018-03-13,TV Series,37.0
6.7,2018-03-14,TV Series,33.0
6.9,2018-03-15,TV Series,33.0
7.8,2018-03-16,TV Series,37.0
7.9,2018-03-17,TV Series,36.0
6.8,2018-03-18,TV Series,31.0
6.8,2018-03-18,TV Series,31.0
9.6,2018-03-29,Crossover,6929.0
4.2,2018-05-22,Movie,1557.0
7.3,2018-09-11,Movie,825.0
8.1,2018-10-01,Crossover,26.0
6.5,2019-02-05,Movie,1182.0
7.0,2019-06-27,TV Series,126.0
7.9,2019-07-02,TV Series,93.0
7.9,2019-07-11,TV Series,79.0
8.1,2019-07-18,TV Series,78.0
5.7,2019-07-21,Movie,1418.0
7.3,2019-07-25,TV Series,84.0
8.1,2019-08-01,TV Series,74.0
8.3,2019-08-08,TV Series,70.0
6.5,2019-08-15,TV Series,74.0
7.5,2019-08-22,TV Series,52.0
7.5,2019-08-29,TV Series,61.0
7.4,2019-09-05,TV Series,59.0
7.4,2019-09-12,TV Series,47.0
8.7,2019-09-19,TV Series,84.0
6.4,2019-10-04,Crossover,38.0
5.7,2020-05-15,Movie (Theatrical),20226.0
8.1,2020-07-02,TV Series,38.0
8.8,2020-07-02,TV Series,35.0
7.9,2020-07-02,TV Series,36.0
8.1,2020-07-02,TV Series,25.0
7.8,2020-07-02,TV Series,27.0
7.7,2020-07-02,TV Series,23.0
8.2,2020-07-02,TV Series,28.0
7.6,2020-07-02,TV Series,22.0
8.6,2020-07-02,TV Series,19.0
7.9,2020-07-02,TV Series,21.0
8.4,2020-07-02,TV Series,25.0
7.6,2020-07-02,TV Series,27.0
8.2,2020-07-02,TV Series,24.0
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
,2020-10-01,TV Series,
6.3,2020-10-06,Movie,978.0
6.2,2020-02-23,Movie,422.0
,2021-02-25,TV Series,
,2020-11-13,TV Series,
