index,network,title,imdb,engagement,format,monster_gender,motive
169,ABC,Scoo-Be or Not Scoo-Be?,7.5,29.0,TV Series (segmented),Male,Natural Resource
170,ABC,The Stoney Glare Stare,7.5,29.0,TV Series (segmented),Male,Treasure
171,ABC,Mission: Un-Doo-Able,7.0,26.0,TV Series (segmented),Male,Conquer
172,ABC,The Bee Team,7.0,26.0,TV Series (segmented),Male,Competition
173,ABC,Doom Service,7.1,24.0,TV Series (segmented),Male,Theft
174,ABC,Ghost of the Ancient Astronauts,6.9,36.0,TV Series,Male,Treasure
175,ABC,The Night of Living Toys,7.2,23.0,TV Series (segmented),Male,Treasure
176,ABC,South Pole Vault,7.2,23.0,TV Series (segmented),Male,Competition
177,ABC,A Halloween Hassle at Dracula's Castle,8.0,47.0,TV Series,Male,Theft
178,ABC,A Night Louse at the White House,7.5,26.0,TV Series,Male,Theft
179,ABC,Showboat Scooby,7.3,27.0,TV Series (segmented),Male,Treasure
180,ABC,Sherlock Doo,7.6,27.0,TV Series,Male,Theft
181,ABC,A Scarey Duel with a Cartoon Ghoul,7.0,24.0,TV Series (segmented),Male,Theft
182,ABC,E*I*E*I*O,7.0,24.0,TV Series (segmented),Male,Competition
183,ABC,The Nutcracker Scoob,7.9,60.0,TV Series,Male,Treasure
184,ABC,Scoobra Kadoobra,7.6,91.0,TV Series,Male,Conquer
185,ABC,Reflections in the Ghoulish Eye,7.2,79.0,TV Series,Male,Conquer
186,ABC,Ship of Ghouls,7.5,74.0,TV Series,Male,Conquer
187,ABC,When You Witch Upon a Star,7.1,78.0,TV Series,Female,Conquer
188,ABC,It's a Wonderful Scoob,7.4,77.0,TV Series,Male,Conquer
189,ABC,Scooby in Kwacky Land,7.7,76.0,TV Series,Male,Conquer
190,ABC,Coast-to-Ghost,7.4,71.0,TV Series,Male,Conquer
191,ABC,The Ghouliest Show on Earth,7.4,77.0,TV Series,Male,Conquer
192,ABC,Horror-Scope Scoob,7.4,77.0,TV Series,Male,Conquer
193,Syndication,Scooby-Doo Meets the Boo Brothers,7.1,3727.0,Movie,Male,Treasure
194,ABC,A Bicycle Built for Boo,7.3,68.0,TV Series,Male,Counterfeit
195,ABC,The Sludge Monster from the Earth's Core,7.5,58.0,TV Series,Male,Theft
196,ABC,The Schnoock Who Took My Comic Book,8.0,55.0,TV Series,Male,Theft
197,ABC,Wanted Cheddar Alive,7.5,61.0,TV Series,Male,Competition
198,ABC,For Letter or Worse,7.4,44.0,TV Series,Male,Competition
199,ABC,The Babysitter from Beyond,7.6,50.0,TV Series,Male,Theft
200,ABC,Snow Place Like Home,7.8,44.0,TV Series,Male,Natural Resource
201,ABC,"Now Museum, Now You Don't",7.7,47.0,TV Series,Male,Theft
202,ABC,Scooby Dude,7.0,47.0,TV Series,Male,Smuggling
203,ABC,Ghost Who's Coming to Dinner,7.5,53.0,TV Series,Male,Competition
204,ABC,The Story Stick,6.9,46.0,TV Series,Male,Competition
205,ABC,Robopup,7.2,44.0,TV Series,Male,Theft
206,ABC,Lights...Camera...Monster,7.5,45.0,TV Series,Male,Theft
207,ABC,Curse of the Collar,7.7,43.0,TV Series,Male,Theft
208,ABC,The Return of Commander Cool,7.7,43.0,TV Series,Male,Theft
209,ABC,The Spirit of Rock'n Roll,7.8,43.0,TV Series,Male,Theft
210,ABC,Chickenstein Lives,7.5,38.0,TV Series,Male,Smuggling
211,ABC,Night of the Living Burger,7.6,42.0,TV Series,Male,Competition
212,ABC,The Computer Walks Among Us,7.7,40.0,TV Series,Male,Competition
213,ABC,"Terror, Thy Name is Zombo",7.8,38.0,TV Series,Male,Competition
214,ABC,Night of the Boogey Biker,7.1,37.0,TV Series (segmented),Male,Assistance
215,ABC,Dawn of the Spooky Shuttle Scare,7.1,37.0,TV Series (segmented),Male,Competition
216,ABC,Horror of the Haunted Hairpiece,6.9,35.0,TV Series,Male,Competition
217,ABC,Wrestle Maniacs,7.2,38.0,TV Series,Male,Competition
218,ABC,The Were-Doo of Doo Manor,7.2,40.0,TV Series,Male,Treasure
219,ABC,The Ghost of Mrs. Shusham,6.6,37.0,TV Series (segmented),Female,Theft
220,ABC,Mayhem of the Moving Mollusk,7.2,32.0,TV Series,Male,Competition
221,Cartoon Network,Bravo Dooby-Doo,8.4,148.0,Crossover,Male,Trespassing
222,Cartoon Network,The Scooby-Doo Project,7.4,390.0,TV Series,Male,Entertainment
223,Warner Home Video,Scooby-Doo and the Alien Invaders,6.9,5625.0,Movie,Male,Natural Resource
224,Warner Home Video,Scooby-Doo and the Cyber Chase,7.0,6632.0,Movie,Male,Competition
225,Cartoon Network,Night of the Living Doo,7.2,256.0,TV Series,Male,Competition
226,Adult Swim,Shaggy Busted,8.1,133.0,Crossover,Male,Competition
227,The WB,There's No Creature Like Snow Creature,7.5,176.0,TV Series,Male,Competition
228,The WB,3-D Struction,7.4,150.0,TV Series,Male,Natural Resource
229,The WB,Space Ape and the Cape,7.6,151.0,TV Series,Male,Competition
230,The WB,Big Scare in the Big Easy,7.7,142.0,TV Series,Male,Competition
231,The WB,"It's Mean, It's Green, It's the Mystery Machine",7.6,144.0,TV Series,Female,Competition
232,The WB,Riva Ras Regas,7.5,125.0,TV Series,Male,Competition
233,The WB,Roller Ghoster Ride,7.7,133.0,TV Series,Male,Competition
234,The WB,"Safari, So Goodie!",7.1,130.0,TV Series,Male,Smuggling
235,The WB,She Sees Sea Monsters by the Sea Shore,7.1,122.0,TV Series,Female,Preservation
236,The WB,A Scooby-Doo! Christmas,7.5,137.0,TV Series,Male,Treasure
237,The WB,Lights! Camera! Mayhem!,7.5,115.0,TV Series,Male,Competition
238,The WB,Pompii and Circumstance,7.1,110.0,TV Series,Male,Competition
239,Warner Home Video,Scooby-Doo! and the Legend of the Vampire,6.6,4180.0,Movie,Male,Competition
240,The WB,The Unnatural,7.3,110.0,TV Series,Male,Competition
241,The WB,Big Appetite in Little Tokyo,7.2,112.0,TV Series,Male,Competition
242,The WB,The Fast and the Wormious,7.4,104.0,TV Series,Male,Competition
243,Warner Home Video,Scooby-Doo! and the Monster of Mexico,6.5,3462.0,Movie,Male,Competition
244,The WB,The Vampire Strikes Back,7.4,105.0,TV Series,Male,Competition
245,The WB,A Scooby-Doo Halloween,7.6,129.0,TV Series,Male,Competition
246,The WB,Homeward Hound,7.2,97.0,TV Series,Male,Competition
247,The WB,The San Franpsycho,7.3,103.0,TV Series,Male,Competition
248,The WB,Simple Plan and the Invisible Madman,7.5,113.0,TV Series,Male,Competition
249,The WB,Recipe for Disaster,7.5,109.0,TV Series,Male,Competition
250,The WB,Large Dragon at Large,7.5,94.0,TV Series,Male,Treasure
251,The WB,Uncle Scooby and Antarctica,7.4,99.0,TV Series,Male,Preservation
252,The WB,"New Mexico, Old Monster",7.2,96.0,TV Series,Male,Preservation
253,Warner Bros. Picture,Scooby-Doo 2: Monsters Unleashed,5.1,50847.0,Movie (Theatrical),Male,Competition
254,The WB,It's All Greek to Scooby,7.4,91.0,TV Series,Male,Treasure
255,Warner Home Video,Scooby-Doo! and the Loch Ness Monster,6.7,4108.0,Movie,Female,Competition
256,The WB,Fright House of a Lighthouse,8.0,128.0,TV Series,Male,Competition
257,The WB,"Go West, Young Scoob",7.2,102.0,TV Series,Male,Competition
258,Warner Home Video,"Aloha, Scooby-Doo!",6.4,3696.0,Movie,Male,Competition
259,The WB,Wrestle Maniacs,7.4,90.0,TV Series,Male,Competition
260,The WB,Ready to Scare,7.5,89.0,TV Series,Male,Competition
261,The WB,Farmed & Dangerous,7.3,101.0,TV Series,Male,Competition
262,The WB,Diamonds Are a Ghoul's Best Friend,7.0,96.0,TV Series,Male,Theft
263,The WB,A Terrifying Round with a Menacing Metallic Clown,7.6,105.0,TV Series,Male,Competition
264,The WB,Camp Comeoniwannascareya,7.5,100.0,TV Series,Male,Preservation
265,The WB,Block-Long Hong Kong Terror,7.4,88.0,TV Series,Male,Competition
266,The WB,"Gentlemen, Start Your Monsters!",7.3,87.0,TV Series,Male,Competition
267,The WB,Gold Paw,7.4,84.0,TV Series,Male,Competition
268,The WB,Reef Grief!,7.5,92.0,TV Series,Male,Competition
269,Cartoon Network,E-Scream,7.4,91.0,TV Series,Male,Simulation
270,The CW,Shags to Riches,6.1,29.0,TV Series,Male,Theft
271,The CW,High Society Scooby,6.0,22.0,TV Series,Male,Conquer
272,The CW,Party Arty,5.9,19.0,TV Series,Male,Abduction
273,The CW,Smart House,5.9,17.0,TV Series,Male,Conquer
274,The CW,Lightning Strikes Twice,5.5,17.0,TV Series,Male,Conquer
275,The CW,Don't Feed the Animals,5.8,18.0,TV Series,Male,Treasure
276,The CW,Mysterty of the Missing Mystery Solvers,6.9,17.0,TV Series,Male,Abduction
277,The CW,Chefs of Steel,5.1,16.0,TV Series,Male,Competition
278,The CW,Almost Ghosts,6.1,20.0,TV Series,Male,Theft
279,The CW,Pole to Pole,6.1,14.0,TV Series,Male,Conquer
280,The CW,Big Trouble,5.9,17.0,TV Series,Male,Conquer
281,Cartoon Network,"Chill Out, Scooby-Doo!",6.7,2511.0,Movie,Male,Competition
282,The CW,Shaggy and Scooby World,5.3,15.0,TV Series,Male,Conquer
283,The CW,Almost Purr-fect,5.2,16.0,TV Series,Male,Theft
284,The CW,Inside Job,5.9,18.0,TV Series,Male,Conquer
285,The CW,Zoinksman,5.5,14.0,TV Series,Male,Conquer
286,The CW,The Many Faces of Evil,5.4,13.0,TV Series,Male,Conquer
287,The CW,Crusin' for a Brusin',5.6,11.0,TV Series,Male,Conquer
288,The CW,There's a Doctor in the House,5.5,11.0,TV Series,Male,Conquer
289,The CW,Super Scary Movie Night,5.4,11.0,TV Series,Male,Conquer
290,The CW,Runaway Robi,4.8,9.0,TV Series,Male,Conquer
291,The CW,Don't Get a Big Head,4.6,9.0,TV Series,Male,Conquer
292,The CW,Scooby Dudes,6.2,13.0,TV Series,Male,Conquer
293,The CW,Zoinks the Wonder Dog,5.1,9.0,TV Series,Male,Conquer
294,The CW,Uncle Albert Alert,5.8,9.0,TV Series,Male,Conquer
295,Warner Home Video,Scooby-Doo! and the Goblin King,6.4,2285.0,Movie,Male,Conquer
296,Warner Home Video,Scooby-Doo! and the Samurai Sword,6.5,2182.0,Movie,Male,Conquer
297,Cartoon Network,Beware the Beast From Below,7.9,337.0,TV Series,Male,Theft
298,Cartoon Network,The Secret of the Ghost Rig,7.7,267.0,TV Series,Male,Theft
299,Cartoon Network,Revenge of the Man Crab,7.7,255.0,TV Series,Male,Competition
300,Cartoon Network,The Song of Mystery,8.0,254.0,TV Series,Male,Competition
301,Cartoon Network,The Legend of Alice May,8.5,263.0,TV Series,Female,Competition
302,Cartoon Network,In Fear of the Phantom,8.2,256.0,TV Series,Male,Competition
303,Cartoon Network,The Grasp of the Gnome,7.8,229.0,TV Series,Male,Competition
304,Cartoon Network,Battle of the Humungonauts,7.6,221.0,TV Series,Male,Competition
305,Cartoon Network,Howl of the Fright Hound,8.2,235.0,TV Series,Male,Competition
306,Cartoon Network,The Secret Serum,8.1,225.0,TV Series,Female,Theft
307,Cartoon Network,The Shrieking Madness,8.4,246.0,TV Series,Male,Competition
308,Cartoon Network,When the Cicada Calls,8.0,224.0,TV Series,Male,Preservation
309,Cartoon Network,Mystery Solvers Club State Finals,8.2,254.0,TV Series,Male,Imagination
310,Cartoon Network,The Wild Brood,7.7,221.0,TV Series,Male,Competition
311,Cartoon Network,Where Walks Aphrodite,8.2,228.0,TV Series,Female,Competition
312,Cartoon Network,Escape from Mystery Manor,8.8,250.0,TV Series,Male,Preservation
313,Cartoon Network,The Dragon's Secret,8.2,211.0,TV Series,Male,Theft
314,Cartoon Network,Nightfright,8.5,227.0,TV Series,Male,Competition
315,Cartoon Network,The Siren's Song,8.1,203.0,TV Series,Male,Natural Resource
316,Cartoon Network,Menace of the Manticore,8.2,212.0,TV Series,Male,Competition
317,Cartoon Network,Attack of the Headless Horror,8.1,196.0,TV Series,Male,Competition
318,Cartoon Network,A Haunting in Crystal Cove,8.6,211.0,TV Series,Male,Theft
319,Cartoon Network,Dead Justice,8.2,194.0,TV Series,Male,Competition
320,Cartoon Network,Pawn of Shadows,8.8,212.0,TV Series,Female,Theft
321,Cartoon Network,All Fear the Freak,9.2,272.0,TV Series,Male,Theft
322,Warner Home Video,Scooby-Doo! Legend of the Phantosaur,6.8,1899.0,Movie,Male,Natural Resource
323,Warner Home Video,Scooby-Doo! Music of the Vampire,6.5,1573.0,Movie,Male,Competition
324,Warner Home Video,Scooby-Doo! Spooky Games,6.9,195.0,TV Series,Male,Competition
